code,name,theme,brief,tags,yahooSymbol
9519,Renova Inc.,-,-,-,9519.T
9531,"Tokyo Gas Co., Ltd.",エネルギー,原油/ガス/電力,エネルギー,9531.T
9532,"Osaka Gas Co., Ltd.",エネルギー,原油/ガス/電力,エネルギー,9532.T
9533,"Toho Gas Co., Ltd.",商社,総合商社,-,9533.T
9534,"Hokkaido Gas Co., Ltd.",エネルギー,原油/ガス/電力,エネルギー,9534.T
9535,"Hiroshima Gas Co., Ltd.",エネルギー,原油/ガス/電力,エネルギー,9535.T
9536,"Saibu Gas Holdings Co., Ltd.",エネルギー,原油/ガス/電力,エネルギー,9536.T
9537,"Hokuriku Gas Co., Ltd.",エネルギー,原油/ガス/電力,エネルギー,9537.T
9539,Keiyo Gas Co. Ltd.,エネルギー,原油/ガス/電力,エネルギー,9539.T
9543,"Shizuoka Gas Co., Ltd.",エネルギー,原油/ガス/電力,エネルギー,9543.T
9551,"Metawater Co., Ltd.",水道,水道/公共,-|公共,9551.T
9552,"M&A Research Institute Holdings, Inc.",itサービス,ソフト/クラウド,it,9552.T
9553,Microad Inc.,ネットサービス,プラットフォーム/広告,it,9553.T
9554,AVIC Co. Ltd.,-,-,-,9554.T
9556,Intloop Inc.,-,-,-,9556.T
9557,Air Closet Inc.,-,-,-,9557.T
9558,Japaniace Co. Ltd.,-,-,-,9558.T
9560,Progrit Inc.,itサービス,ソフト/クラウド,it,9560.T
9561,Glad Cube Inc.,ネットサービス,プラットフォーム/広告,it,9561.T
9562,Business Coach Inc.,-,-,-,9562.T
9563,Atlas Technologies Corp.,-,-,-,9563.T
9564,Fce Inc.,-,-,-,9564.T
9565,Gloe Inc.,-,-,-,9565.T
9600,I-Net Corp.,-,-,-,9600.T
9601,"Shochiku Co., Ltd.",-,-,-,9601.T
9602,Toho Co. Ltd.,商社,総合商社,-,9602.T
9603,"H.I.S. Co., Ltd.",-,-,-,9603.T
9605,"Toei Co., Ltd.",-,-,-,9605.T
9610,Wilson Learning Worldwide Inc.,-,-,-,9610.T
9612,"Luckland Co., Ltd.",-,-,-,9612.T
9613,NTT Data Group Corporation,通信,キャリア/通信,-,9613.T
9616,"Kyoritsu Maintenance Co., Ltd.",itサービス,ソフト/クラウド,it,9616.T
9619,"Ichinen Holdings Co., Ltd.",-,-,-,9619.T
9621,"Cti Engineering Co., Ltd.",建設,建設/エンジニアリング,-|建設,9621.T
9622,Space Co. Ltd.,-,-,-,9622.T
9624,"Chodai Co., Ltd.",-,-,-,9624.T
